name,nationality,age,position,overall,potential,pace,shooting,passing,dribbling,defending,physical,market_value,club,league,foot,season_goals,season_assists
Philippe Coutinho,英格兰,24,W,84,88,83,76,83,88,32,63,54108996,Liverpool,英格兰超级联赛,右,16,15
Blaise Matuidi,法国,29,CM,84,84,75,68,79,75,84,83,134190015,Paris Saint-Germain,法国甲级联赛,左,11,1
Javier Martinez,西班牙,28,CM,84,85,52,65,76,67,85,72,91635587,Athletic Club de Bilbao,西班牙甲级联赛,右,23,1
Ilkay Guendogan,德国,26,CAM,84,87,77,73,87,88,66,70,71676291,Borussia Dortmund,德国甲级联赛,右,12,3
Claudio Marchisio,意大利,30,CM,84,84,79,74,85,84,77,76,51445278,Juventus,意大利甲级联赛,右,29,4
Hulk,葡萄牙,30,ST,84,84,84,90,80,84,39,82,99134065,FC Porto,葡萄牙超级联赛,左,0,0
Nicolas Otamendi,葡萄牙,28,CB,84,84,74,59,58,50,85,83,40765189,FC Porto,葡萄牙超级联赛,右,0,0
Nemanja Matic,英格兰,28,CM,83,84,67,72,80,76,82,84,64518363,Chelsea,英格兰超级联赛,左,1,4
Claudio Bravo,西班牙,33,GK,83,83,56,19,42,14,18,65,88282774,Real Sociedad,西班牙甲级联赛,右,0,0
Benedikt Hoewedes,德国,28,CB,83,83,65,47,65,65,84,77,107895416,FC Schalke 04,德国甲级联赛,右,8,1
Carles Puyol,西班牙,38,CB,83,83,64,49,62,56,86,71,27156857,FC Barcelona,西班牙甲级联赛,右,9,4
Jonas,西班牙,32,ST,83,83,76,84,78,86,26,69,83372488,Valencia CF,西班牙甲级联赛,右,36,10
Radja Nainggolan,意大利,28,CM,83,83,78,80,80,82,83,83,54517754,Cagliari,意大利甲级联赛,右,9,4
Koke,西班牙,24,CAM,83,87,74,77,86,83,52,72,184242773,Atlético Madrid,西班牙甲级联赛,右,12,8
Marcelo,西班牙,28,CM,83,83,80,71,75,84,83,78,80161317,Real Madrid CF,西班牙甲级联赛,左,15,22
Dimitri Payet,法国,29,CAM,83,83,77,78,86,86,41,65,39264595,AS Saint-Étienne,法国甲级联赛,右,30,2
Steve Mandanda,法国,31,GK,83,83,48,16,37,12,14,55,43005300,Olympique de Marseille,法国甲级联赛,右,0,0
Thiago Alcantara,西班牙,25,CAM,83,87,72,76,85,89,58,67,24938074,FC Barcelona,西班牙甲级联赛,右,9,4
Joao Moutinho,法国,30,CM,83,83,71,77,84,82,71,76,116833610,AS Monaco,法国甲级联赛,右,1,3
Willian,英格兰,28,W,83,84,89,75,81,86,53,64,70183709,Chelsea,英格兰超级联赛,右,4,2
Juan Mata,西班牙,28,W,83,83,70,74,84,86,28,64,58114152,Valencia CF,西班牙甲级联赛,左,57,55
Stephane Ruffier,法国,30,GK,83,83,54,14,39,14,15,62,58693592,AS Saint-Étienne,法国甲级联赛,右,0,0
Douglas Costa,德国,26,W,83,86,92,78,77,86,48,66,235689071,FC Bayern Munich,德国甲级联赛,左,0,0
Chris Smalling,英格兰,27,CB,83,85,76,33,59,64,85,81,65312657,Manchester United,英格兰超级联赛,右,4,0
Edwin van der Sar,英格兰,45,GK,83,87,46,17,31,18,16,58,68694799,Manchester United,英格兰超级联赛,右,0,1
Sokratis Papastathopoulos,德国,28,FB,83,83,74,57,62,58,86,81,57832757,Borussia Dortmund,德国甲级联赛,右,6,2
Alexandre Lacazette,法国,25,ST,83,87,87,80,75,84,30,78,67293839,Olympique Lyonnais,法国甲级联赛,右,23,2
Nilmar,西班牙,32,W,83,86,92,78,67,85,17,63,58148537,Villarreal CF,西班牙甲级联赛,右,25,7
Arda Turan,西班牙,29,CAM,83,83,74,74,84,88,62,74,111333194,Atlético Madrid,西班牙甲级联赛,右,11,7
Per Mertesacker,英格兰,32,GK,83,83,31,44,62,52,88,61,127276669,Arsenal,英格兰超级联赛,右,16,1
Mehdi Benatia,意大利,29,CB,83,83,64,44,58,62,84,80,46286720,Udinese,意大利甲级联赛,右,12,0
Nicolas Gaitan,葡萄牙,28,W,83,83,84,74,83,86,39,63,67178085,SL Benfica,葡萄牙超级联赛,左,0,0
Ezequiel Garay,葡萄牙,30,CM,83,83,52,61,70,68,86,75,114624229,SL Benfica,葡萄牙超级联赛,右,3,4
Ralf Faehrmann,德国,28,GK,83,84,42,15,31,20,14,61,64450623,FC Schalke 04,德国甲级联赛,右,0,0
Bernd Leno,德国,24,GK,83,88,49,15,41,19,16,61,83325799,Bayer 04 Leverkusen,德国甲级联赛,右,0,0
Leonardo Bonucci,意大利,29,FB,83,83,70,55,73,70,86,81,40521540,Juventus,意大利甲级联赛,右,7,1
Aymeric Laporte,西班牙,22,CB,83,87,68,42,66,62,86,78,72713523,Athletic Club de Bilbao,西班牙甲级联赛,左,2,0
Christian Eriksen,荷兰,24,CAM,83,87,76,77,84,84,40,65,51682505,Ajax,荷兰甲级联赛,右,8,9
Konstantinos Manolas,意大利,25,CB,83,86,82,22,48,60,86,82,36484380,Roma,意大利甲级联赛,右,0,0
Jackson Martinez,葡萄牙,30,ST,83,83,81,79,69,80,38,86,136162402,FC Porto,葡萄牙超级联赛,右,0,0
Daniel Sturridge,英格兰,27,ST,83,85,88,84,70,82,18,73,57942633,Liverpool,英格兰超级联赛,左,57,16
David Luiz,英格兰,29,CM,83,83,72,67,74,74,82,77,39849644,Chelsea,英格兰超级联赛,右,7,4
Pedro Rodriguez,西班牙,29,W,83,83,82,75,77,84,36,67,55558344,FC Barcelona,西班牙甲级联赛,右,53,19
Luiz Gustavo,德国,29,CM,83,83,70,67,76,72,85,79,121456112,VfL Wolfsburg,德国甲级联赛,左,14,4
Javier Mascherano,西班牙,32,FB,83,83,68,59,74,70,87,79,38672488,FC Barcelona,西班牙甲级联赛,右,1,2
Marek Hamsik,意大利,29,CAM,82,82,76,77,83,84,60,73,47713233,Napoli,意大利甲级联赛,右,48,17
Romelu Lukaku,英格兰,23,ST,82,88,82,82,65,76,28,81,45581143,Everton,英格兰超级联赛,左,33,11
