name,nationality,age,position,overall,potential,pace,shooting,passing,dribbling,defending,physical,market_value,club,league,foot,height,weight,season_goals,season_assists
Hendry Thomas,英格兰,31,FB,68,68,66,46,62,64,67,69,7456115,Wigan Athletic,英格兰超级联赛,右,180,79,0,0
Menno Koch,荷兰,22,CB,68,76,51,35,51,53,68,73,11231097,NAC Breda,荷兰甲级联赛,右,196,78,0,0
Marco Rossi,意大利,29,CB,68,68,65,37,42,40,68,75,4812918,Bari,意大利甲级联赛,左,188,82,1,0
Daniel Jensen,德国,37,CM,68,68,50,64,69,66,61,68,7214695,SV Werder Bremen,德国甲级联赛,右,178,73,0,1
"Onyinye Ndidi,26",比利时,20,FB,68,80,77,55,66,58,68,77,20636238,KRC Genk,比利时甲级联赛,右,188,75,0,0
Nelson Monte,葡萄牙,21,CB,68,77,60,31,44,50,70,75,10084512,Rio Ave FC,葡萄牙超级联赛,右,188,78,0,0
Alberto Guitian,西班牙,26,FB,68,72,66,44,63,61,68,71,6129476,SD Eibar,西班牙甲级联赛,右,183,74,0,0
Jay Spearing,英格兰,28,CM,68,68,70,66,66,68,72,79,7657361,Liverpool,英格兰超级联赛,右,168,70,0,2
Jonathon Grounds,苏格兰,28,FB,68,68,70,40,54,60,69,75,8842856,Hibernian,苏格兰超级联赛,左,185,87,0,0
Florent Hanin,瑞士,26,FB,68,70,84,26,62,65,68,65,7022670,FC St. Gallen,瑞士超级联赛,左,178,75,0,0
Abraham Guie Gneki,法国,30,ST,68,71,80,66,47,68,17,68,8075124,OGC Nice,法国甲级联赛,右,180,70,1,0
Simone Colombi,意大利,25,GK,68,72,40,17,35,16,14,55,9841459,Cagliari,意大利甲级联赛,右,188,83,0,0
David Vaughan,英格兰,33,CM,68,68,36,67,74,71,66,58,10308385,Blackpool,英格兰超级联赛,左,168,70,6,4
Danny Verbeek,荷兰,26,W,68,72,84,61,59,68,22,63,4958105,NAC Breda,荷兰甲级联赛,左,183,65,2,0
Karl Darlow,英格兰,26,GK,68,72,56,13,32,20,16,56,5773661,Newcastle United,英格兰超级联赛,右,185,79,0,0
Gianluca Comotto,意大利,38,FB,68,68,52,41,46,54,71,59,4372538,Fiorentina,意大利甲级联赛,右,180,80,0,2
Goran Karanovic,瑞士,29,W,68,68,78,58,56,64,34,67,9598950,Servette FC,瑞士超级联赛,右,185,82,0,0
Jose Gustavo Sand,西班牙,36,ST,68,68,38,72,52,63,26,68,14649274,RC Deportivo de La Coruña,西班牙甲级联赛,右,183,79,0,0
Joao Silva,葡萄牙,26,ST,68,70,67,64,38,67,15,72,9420796,Vitória Setúbal,葡萄牙超级联赛,右,185,86,0,0
Milan Petrzela,德国,33,ST,68,68,80,67,63,68,27,64,6054607,FC Augsburg,德国甲级联赛,右,170,65,0,0
Dennis Oliech,法国,31,ST,68,68,88,69,58,64,24,74,7696260,AJ Auxerre,法国甲级联赛,右,180,84,11,0
Uros Cosic,意大利,24,FB,68,75,70,34,40,55,70,68,11116095,Pescara,意大利甲级联赛,右,185,82,0,0
Manu Fernandez,西班牙,30,GK,68,68,52,23,32,18,16,60,11444493,RC Deportivo de La Coruña,西班牙甲级联赛,右,183,77,0,0
Cris Santos,葡萄牙,32,FB,68,70,76,54,69,64,64,75,4344370,Académica de Coimbra,葡萄牙超级联赛,右,178,70,0,0
Thomas Guerbert,法国,27,CAM,68,69,74,60,69,68,48,65,8763611,Dijon FCO,法国甲级联赛,右,173,70,1,0
Daniel Brueckner,德国,35,CM,68,68,72,59,66,70,67,66,5974748,SC Paderborn 07,德国甲级联赛,左,183,77,0,0
Fernando Ferreira,葡萄牙,30,CM,68,68,58,68,67,67,62,77,12233301,CF Os Belenenses,葡萄牙超级联赛,右,183,79,0,0
Luka Djordjevic,意大利,22,W,68,78,78,68,62,70,18,58,14553683,Empoli,意大利甲级联赛,右,183,74,0,0
Robert Muehren,荷兰,27,ST,68,69,66,69,63,63,31,63,11684618,AZ,荷兰甲级联赛,右,180,78,3,2
Andre Albino Carvalho da Cunha,葡萄牙,38,CM,68,68,50,65,69,70,60,71,3318809,Gil Vicente FC,葡萄牙超级联赛,右,183,83,0,0
Kevin Jansen,荷兰,24,CM,68,73,66,58,70,67,58,68,3994641,ADO Den Haag,荷兰甲级联赛,右,178,77,0,0
Andy Wilkinson,英格兰,32,CB,68,68,66,23,54,58,73,74,12606841,Stoke City,英格兰超级联赛,右,180,69,1,1
Remi Mareval,比利时,33,CM,68,68,76,70,64,66,66,77,5775473,SV Zulte-Waregem,比利时甲级联赛,左,183,86,0,0
